Frame,Z_coord_n1,na_res,Z_coord_na
0,-5.9085584,2,-2.7749
1,-5.2791123,2,-2.8364735
2,-5.005533,2,-2.4845707
3,-5.041671,2,-2.4330208
4,-4.8839197,2,-0.10884027
5,-4.884003,2,-0.26464415
6,-5.9112873,2,-0.6119309
7,-5.5292926,2,-2.397728
8,-5.637401,2,-2.4928424
9,-5.0387154,2,-1.2902802
10,-5.563411,2,-1.4107972
11,-4.854076,2,-0.47914615
12,-5.694247,2,-0.8323414
13,-5.839587,2,-0.675566
14,-5.161768,2,-0.9666156
15,-5.0399985,2,-0.8396331
16,-4.637899,2,-0.70419055
17,-4.3428164,2,-0.20203847
18,-4.6257544,2,-0.55051553
19,-4.533221,2,0.16821462
20,-3.498568,2,0.5034132
21,-3.6571133,2,0.402311
22,-4.1271205,2,-1.8482394
23,-5.105372,2,-0.6482628
24,-4.6088424,2,-0.14686322
25,-4.6215777,2,0.15486729
26,-5.1602635,2,-0.9560633
27,-4.4162145,2,-1.4269718
28,-4.642889,2,-0.60735416
29,-4.4983306,2,0.1426709
30,-4.789286,2,-0.4532172
31,-4.852612,2,0.29769117
32,-5.069845,2,-2.102526
33,-4.801077,2,-0.14598727
34,-4.339584,2,0.4874079
35,-4.7204924,2,-0.08385805
36,-4.4830093,2,-0.012830957
37,-4.6389055,2,-0.43111837
38,-4.676508,2,-0.26385835
39,-5.287842,2,-0.95100975
40,-5.6330867,2,-1.245542
41,-5.834146,2,-1.3639522
42,-6.2136564,2,-1.594402
43,-5.7531996,2,-1.1282223
44,-4.8316574,2,-0.48634255
45,-5.3097267,2,-1.275717
46,-4.7263856,2,-0.84600574
47,-5.417687,2,-0.6456935
48,-4.9103904,2,-0.3509623
49,-5.0530877,2,-1.2189829
50,-4.453284,2,-0.3648023
51,-4.443824,2,-0.71835315
52,-4.869697,2,-0.3177569
53,-4.197325,2,-0.06948201
54,-4.386969,2,-0.46046427
55,-3.903457,2,0.06291068
56,-4.3173347,2,0.24680045
57,-4.5982757,2,-0.6225768
58,-5.1184664,2,-0.8281579
59,-5.80395,2,-1.4391774
60,-5.299783,2,-1.4260231
61,-4.9299154,2,-0.85804594
62,-5.046809,2,-0.67136884
63,-4.6749983,2,-0.5376479
64,-5.2493567,2,-0.8175268
65,-4.7002854,2,-0.322417
66,-5.6025476,2,-0.9528923
67,-5.092755,2,-0.95884323
68,-5.2959657,2,-1.3738332
69,-6.026938,2,-1.7936323
70,-6.659888,2,-2.3900123
71,-6.667132,2,-2.2868316
72,-6.387487,2,-2.6285746
73,-6.9457912,2,-3.1862376
74,-6.7698483,2,-2.7913516
75,-6.457626,2,-2.0126288
76,-7.7304587,2,-3.4631906
77,-7.1069665,2,-2.6710541
78,-7.19236,2,-3.3395803
79,-7.170456,2,-3.1320915
80,-7.6315255,2,-3.7454343
81,-7.51389,2,-3.679009
82,-7.2353086,2,-3.5011432
83,-7.4874606,2,-3.7139068
84,-7.5682774,2,-3.85922
85,-7.6520796,2,-3.4120104
86,-6.523129,2,-3.881253
87,-6.6732855,2,-3.8874648
