Frame,Z_coord_n1,na_res,Z_coord_na
0,-8.040613,3,-17.070612
1,-7.8754487,3,-15.68966
2,-7.902221,3,-15.444108
3,-7.9882913,3,-19.704958
4,-8.707017,3,-18.358528
5,-8.314517,3,-18.566051
6,-7.940573,32,-21.223074
7,-8.246826,3,-14.400713
8,-9.104083,3,-16.345472
9,-8.571018,3,-15.712414
10,-8.037093,3,-16.64466
11,-8.816273,3,-13.662748
12,-8.50114,3,-12.93713
13,-8.467476,3,-9.615073
14,-8.827918,3,-18.007256
15,-8.562773,3,-14.243819
16,-8.176712,3,-14.801771
17,-8.446829,3,-16.1738
18,-8.45942,3,-16.016638
19,-8.970449,3,-20.813519
20,-8.869438,3,-20.069555
21,-8.392955,3,-20.000546
22,-8.371813,3,-19.06091
23,-8.957612,3,-25.285166
24,-8.1830435,3,-23.471722
25,-8.405283,42,-19.751661
26,-8.818213,42,-22.999231
32,-8.380259,212,12.326837
35,-8.593059,42,-21.180658
36,-7.874873,42,-24.437592
37,-7.326322,42,-20.62538
38,-7.445362,42,-19.230587
39,-7.780587,3,-19.699192
40,-7.089878,3,-24.462616
41,-7.114455,3,-19.647263
42,-7.4488277,3,-22.389744
43,-7.1873875,212,13.052024
46,-7.251125,46,-25.247742
47,-7.2128906,46,-22.065826
48,-7.690443,46,-20.383179
49,-7.5021915,91,-18.30038
50,-7.6086106,91,-23.537327
51,-7.8978357,46,-21.04593
52,-7.715602,91,-24.0278
53,-7.8311563,46,-19.456617
54,-7.608389,91,-17.263577
55,-8.09109,46,-24.138073
56,-8.099181,91,-21.261887
57,-8.103402,91,-18.159702
58,-8.1613455,46,-25.357609
59,-7.774941,46,-17.481003
60,-7.900071,46,-16.543629
61,-7.795506,91,-17.856459
62,-8.131819,46,-24.382738
63,-7.999261,91,-15.635908
64,-7.8100734,42,-20.657492
65,-7.9216676,42,-19.459602
66,-7.556019,91,-15.363921
67,-8.302055,91,-13.635026
68,-7.878671,91,-13.731618
69,-7.737034,91,-14.81301
70,-7.9920154,91,-16.944626
71,-8.060237,91,-17.239809
72,-7.485506,91,-21.602314
74,-7.461277,46,-24.22132
77,-7.586483,91,-20.12041
78,-8.321692,46,-25.908087
79,-7.5499735,46,-25.55498
80,-8.53133,46,-23.986595
81,-7.7800198,46,-26.166784
83,-8.479643,91,-20.279016
85,-7.402816,46,-24.017462
86,-7.24526,46,-22.962626
103,-6.18913,90,-21.389463
104,-6.424644,90,-19.72112
105,-6.4506464,90,-21.16898
118,-7.7298923,90,-25.97706
119,-7.2022004,90,-17.728807
120,-7.4526134,90,-11.166191
121,-7.521296,90,-10.929356
122,-6.744066,90,-13.408246
123,-6.7626452,90,-11.441429
124,-6.234985,90,-11.787707
125,-7.037566,90,-20.297552
126,-7.4635878,102,-25.001802
127,-6.251865,102,-18.831833
129,-6.9497066,90,-22.358389
130,-7.005826,90,-21.484058
131,-6.8964334,102,-24.664455
132,-6.7640595,90,-23.268755
134,-6.388658,90,-25.782036
135,-7.0834355,66,-26.32503
136,-6.8549404,66,-25.921804
137,-7.2551017,66,-24.265186
138,-6.4441137,66,-20.343979
139,-6.466275,46,-17.81604
140,-6.5705223,46,-21.211233
142,-7.0143943,46,-21.141445
143,-7.3505216,46,-19.98113
144,-7.4541707,46,-17.602497
145,-7.1950865,46,-18.189274
146,-7.0924926,46,-13.592738
147,-7.5978947,46,-14.002964
148,-7.656045,46,-13.343548
149,-7.27124,46,-14.325307
150,-7.708686,46,-12.957485
151,-7.7295785,46,-13.196059
152,-7.842713,46,-12.485242
153,-7.5355377,46,-12.61988
154,-8.271505,46,-12.168817
155,-8.267914,46,-21.235155
156,-8.079159,46,-14.675541
157,-7.7745123,46,-13.079907
158,-7.0183597,46,-12.856152
159,-7.734444,46,-10.8285055
160,-8.083149,46,-12.771894
161,-7.49492,46,-10.23556
162,-7.456398,46,-10.856887
163,-7.808317,46,-11.127795
164,-8.410239,46,-15.411841
165,-7.7816205,46,-14.270055
166,-7.5579395,46,-16.193155
167,-7.4995933,46,-12.11939
168,-7.4447317,46,-20.602781
169,-8.36163,46,-21.485785
170,-8.706387,46,-16.72851
171,-8.902317,46,-16.216637
172,-8.741845,46,-20.261766
173,-8.71558,46,-18.007126
174,-9.081137,46,-13.347362
175,-9.23609,46,-15.309353
176,-9.013884,46,-12.010941
177,-8.577601,46,-17.442604
178,-8.782703,46,-20.877972
179,-9.315501,46,-21.655369
180,-9.059533,46,-26.911884
181,-9.336355,55,-18.269241
182,-9.305337,55,-21.039549
183,-9.731972,55,-21.467909
184,-9.254584,55,-21.213243
185,-9.233612,55,-19.733383
186,-9.431121,55,-23.678934
187,-8.998207,55,-24.200352
188,-9.394858,55,-22.214108
189,-8.974448,55,-20.353537
190,-9.848811,55,-23.790071
191,-9.093917,55,-26.12761
192,-9.094262,55,-27.30544
193,-8.928281,55,-24.715832
194,-8.717961,55,-23.933908
195,-9.807143,55,-24.273
196,-10.039607,55,-25.35515
197,-10.097327,55,-20.21641
198,-9.650177,55,-18.534077
199,-9.17911,55,-20.773247
200,-9.805686,55,-17.045956
201,-8.928843,55,-19.891457
202,-8.575708,55,-19.327803
203,-8.69805,55,-25.70309
204,-9.287307,6,-26.849186
205,-9.125813,55,-20.598104
206,-9.338945,55,-22.250908
207,-9.905023,55,-20.76231
208,-9.884779,55,-19.064917
209,-9.7033,55,-19.762987
210,-9.788343,107,-17.04221
211,-9.548599,107,-21.888462
212,-9.778554,107,-23.295769
213,-9.587418,107,-20.707426
214,-9.057234,107,-14.789343
215,-8.580461,107,-15.724036
216,-9.009326,107,-14.999113
217,-8.660214,107,-14.569178
218,-8.579397,107,-16.65603
219,-9.016577,107,-17.402174
220,-8.896982,107,-20.264896
221,-8.607924,107,-18.436178
222,-8.7465515,107,-17.712801
223,-8.7424965,107,-18.654352
224,-9.125008,107,-11.377956
