Frame,Z_coord_n1,na_res,Z_coord_na
3,-7.7890697,56,-22.903446
10,-8.64197,89,-23.132574
11,-8.575255,89,-20.906652
12,-9.049451,89,-20.346682
16,-8.3599205,89,-22.761347
17,-8.784402,89,-22.03219
18,-8.216262,89,-18.93481
19,-8.849228,89,-19.220482
21,-9.557414,89,-23.171116
22,-9.261803,89,-23.7982
23,-9.616354,89,-23.327585
24,-9.558847,89,-20.91304
25,-9.937937,89,-17.489035
26,-9.361832,12,-26.096104
27,-10.050494,89,-14.556835
28,-10.381572,89,-15.122854
29,-9.876054,12,-22.994192
30,-9.855409,12,-25.381151
31,-9.727701,89,-14.709302
32,-9.416384,89,-15.257518
33,-9.044856,89,-14.473582
34,-9.320118,89,-14.2160015
35,-8.679576,89,-14.03837
36,-9.414509,89,-14.806496
37,-9.062865,89,-13.930305
38,-9.446239,89,-14.90768
39,-9.108885,89,-15.47886
40,-9.532811,89,-15.984867
41,-9.177343,89,-15.619933
42,-8.584718,89,-15.2958145
43,-8.579978,89,-14.991559
44,-8.961148,89,-15.166507
45,-8.628718,89,-13.970618
46,-9.490822,89,-14.827922
47,-9.202322,89,-15.058855
48,-8.850073,89,-14.401264
49,-9.050944,89,-14.859138
50,-8.825858,89,-14.414964
51,-8.819277,89,-13.793098
52,-9.405979,89,-14.600044
53,-8.948191,89,-15.879866
54,-8.493132,89,-14.568033
55,-8.101661,89,-15.075169
56,-8.133817,89,-14.701893
57,-8.752846,89,-14.322031
58,-9.377336,89,-14.693459
59,-9.39746,89,-11.89875
60,-8.3052435,89,-11.167021
61,-8.055251,89,-10.353269
62,-8.347781,89,-11.261016
63,-9.130781,89,-11.379241
64,-9.415286,89,-12.261985
65,-9.236558,89,-12.664963
66,-8.685577,89,-16.389074
67,-8.728213,89,-23.521852
68,-8.363319,89,-25.701439
69,-8.646866,210,-20.956964
70,-8.680666,210,-22.281504
71,-8.470467,210,-24.719284
72,-8.500909,210,-22.206522
73,-8.641658,210,-17.728077
74,-8.632946,210,-17.716747
75,-7.948111,210,-23.890924
76,-8.019899,210,-26.098145
85,-8.536113,210,-23.445412
87,-8.640696,182,-24.373016
88,-8.645531,182,-21.444286
89,-8.899635,182,-18.079401
90,-9.196822,182,-20.402992
91,-9.26777,182,-18.997704
92,-9.62522,182,-21.96977
94,-8.878058,182,-21.434721
96,-9.603105,56,-27.76366
97,-9.474794,56,-25.043774
98,-8.874088,56,-27.743511
99,-9.280926,56,-25.196993
100,-9.531572,210,-19.994535
101,-9.193693,56,-18.5146
102,-8.993608,56,-20.279818
103,-9.108134,56,-22.647547
104,-9.243217,56,-26.181232
105,-9.414333,56,-23.235266
106,-9.078238,174,-26.556808
107,-9.176563,174,-27.01171
108,-8.661803,174,-23.593096
109,-8.238539,174,-26.61186
110,-9.002509,174,-22.276854
111,-8.5773115,174,-21.608627
112,-8.79795,174,-22.627724
113,-8.782628,210,-22.279253
114,-9.3077135,210,-20.132599
115,-8.346931,210,-14.114006
116,-9.219813,210,-14.814563
117,-9.276987,56,-22.788155
118,-9.539742,56,-24.077711
119,-8.693187,46,-26.121525
120,-8.534677,46,-24.305328
121,-8.531259,46,-18.962095
122,-8.289622,46,-18.104519
123,-9.277801,46,-18.352652
124,-9.543808,46,-20.208445
125,-9.041808,46,-19.401167
126,-9.338013,46,-17.124847
127,-9.030203,46,-16.56267
128,-8.657167,46,-18.381714
129,-8.567452,46,-23.5329
130,-9.17137,46,-24.305069
131,-9.9072695,56,-24.098368
132,-10.030028,210,-15.269662
133,-10.250785,46,-22.98071
134,-9.979992,56,-26.698702
135,-10.188277,210,-14.986952
136,-9.853908,56,-27.15025
137,-10.020145,46,-27.151844
138,-10.041823,46,-28.095783
139,-9.8967905,56,-22.303988
140,-9.744838,56,-23.890657
141,-9.088123,56,-22.480566
142,-8.691011,210,-14.472322
