Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
0,none,none,none,,none,10.07,3.3,-0.81,0.34,-0.89,0.49,-0.87,0.03,0.4,0.42,-0.59,-0.83,0.35,-0.21,-0.25,-0.07,-0.49,-0.71,-0.16,-0.43,-0.31,-0.46,0.01,0.76,0.07,-0.37,0.03,0.49,-0.27,-0.57,0.1,0.17,-0.18,0.14,-0.25,0.02,-0.15,-0.16,-0.5,-0.02,0.08,-0.12,-0.17,-0.11,-0.13
1,none,none,none,,none,9.57,3.66,-0.8,0.19,-1.02,0.8,-0.15,-0.17,0.14,-0.22,-1.32,-0.75,-0.34,-0.58,0.08,0.03,-0.63,-0.2,0.21,0.14,-0.74,-0.23,-0.21,0.67,-0.22,-0.03,0.51,-0.05,-0.06,-0.14,0.23,-0.06,0.02,-0.17,0.35,0.2,0.03,0.07,0.23,-0.14,-0.04,-0.19,-0.07,0.16,-0.19
2,none,none,none,,none,9.85,3.48,-0.74,0.69,-0.48,0.46,0.07,-0.08,0.83,0.02,-0.24,-0.1,-1.08,-0.87,0.06,-0.5,-0.66,-1.13,0.04,-0.3,0.42,-0.66,-0.09,-0.14,0.12,-0.57,0.06,-0.1,-0.45,-0.27,0.36,0.24,0.24,-0.31,-0.35,-0.08,0.06,-0.44,-0.13,0.01,-0.15,0.07,0.05,-0.08,0.0
3,none,none,none,,none,10.76,3.47,-0.81,0.09,-1.09,0.56,0.14,-0.33,0.86,0.38,-1.15,-0.7,-0.21,-0.83,0.0,-0.21,-0.66,-0.94,0.02,-0.07,0.37,-0.17,-0.04,0.45,-0.38,-0.66,-0.02,0.03,-0.63,-0.3,0.21,-0.05,-0.1,-0.23,-0.15,0.0,-0.33,-0.19,-0.13,-0.05,-0.14,0.03,0.1,0.05,0.04
4,none,none,none,,none,11.11,3.87,-0.96,0.53,-1.25,0.48,0.22,-0.05,0.86,-0.82,-0.8,-0.03,-1.11,-0.38,0.11,-0.62,0.1,-0.76,-0.1,-0.18,-0.27,0.2,-0.02,0.09,0.27,-0.68,-0.3,0.13,-0.28,0.03,0.09,0.22,0.41,-0.28,-0.49,-0.07,0.0,-0.04,-0.08,0.21,-0.2,0.13,0.1,-0.08,0.03
5,none,none,none,,none,10.48,3.48,-0.81,0.31,-1.26,0.8,0.23,-0.29,0.88,0.03,-0.85,0.3,-0.2,-1.22,0.04,-0.73,-0.7,-0.49,-0.35,0.44,0.0,0.41,0.07,-0.2,0.12,-0.64,-0.45,0.18,0.62,0.12,-0.02,0.39,0.63,-0.17,0.07,0.27,-0.16,-0.18,0.06,0.07,-0.13,0.02,0.01,0.05,-0.12
6,none,none,none,,none,10.34,3.63,-0.98,0.49,-0.93,0.4,0.67,0.27,0.26,-0.65,-0.78,0.03,-0.95,-0.7,0.35,-0.49,-1.05,-0.8,-0.36,0.34,0.12,-0.05,0.35,0.0,-0.4,-0.74,-0.42,-0.06,0.04,0.47,-0.07,0.03,0.36,0.14,0.14,-0.14,0.07,0.16,-0.31,0.05,-0.02,-0.16,0.03,-0.05,0.06
7,-9.441823,120.0,-25.348217,prod1,-15.91,9.42,3.59,-0.84,0.25,-0.96,0.76,0.36,-0.04,0.5,-0.26,-0.83,0.06,-0.68,-0.69,0.13,-0.38,-0.16,-0.81,-0.25,-0.03,0.12,0.22,-0.16,0.04,-0.22,-0.86,0.1,-0.08,-0.09,-0.59,-0.32,0.14,0.59,0.19,0.08,0.23,-0.08,-0.04,0.35,-0.11,-0.02,-0.13,0.1,0.04,-0.07
8,none,none,none,,none,9.44,3.79,-0.69,0.29,-0.42,0.37,-0.29,0.18,0.37,-0.3,-0.55,-0.51,-0.63,-0.52,0.21,-1.13,-0.72,-1.23,-0.07,-0.33,0.2,-0.32,0.15,0.27,-0.49,-0.59,-0.28,-0.34,-0.4,-0.45,0.14,0.39,0.45,-0.12,-0.27,-0.13,-0.26,-0.4,0.28,-0.11,0.01,-0.22,0.02,0.12,-0.06
9,-8.787259,120.0,-27.446035,prod1,-18.66,10.79,3.58,-0.82,0.34,-0.85,1.01,0.42,-0.05,0.79,-0.32,-0.55,-0.42,-0.75,-0.46,0.09,-0.61,-0.34,-0.82,0.06,-0.03,0.4,-0.07,-0.61,-0.03,-0.34,-0.4,-0.01,-0.09,-0.23,-0.02,0.24,0.11,0.05,-0.07,-0.04,0.39,-0.11,0.1,0.03,-0.13,-0.08,-0.06,0.09,-0.12,-0.03
