Frame,Z_coord_n1,na_res,Z_coord_na,prod
7,-9.441823,120,-25.348217,prod1
9,-8.787259,120,-27.446035,prod1
10,-9.686111,120,-24.107712,prod1
17,-9.62896,116,10.348699,prod1
25,-9.6577635,174,-28.602312,prod1
27,-9.994279,174,-27.38081,prod1
30,-10.254307,174,-23.186691,prod1
31,-9.593857,174,-23.162716,prod1
32,-8.811668,116,8.733383,prod1
33,-9.816515,116,8.297974,prod1
34,-9.774764,116,7.6029105,prod1
35,-9.825905,116,5.431047,prod1
36,-9.821335,116,6.993478,prod1
37,-9.7798605,116,9.759031,prod1
39,-10.344972,84,-27.757448,prod1
40,-10.325972,116,11.111467,prod1
41,-9.699659,116,5.972729,prod1
44,-10.018276,174,-23.124878,prod1
45,-9.704669,120,-26.826212,prod1
46,-9.953777,116,5.0611024,prod1
47,-8.886342,116,6.2313666,prod1
48,-9.254228,120,-25.637377,prod1
49,-9.939235,120,-25.230206,prod1
50,-9.891224,120,-25.870617,prod1
51,-9.254312,174,-17.96824,prod1
52,-9.203191,120,-25.802425,prod1
53,-9.264417,174,-23.097675,prod1
54,-9.420318,120,-23.922766,prod1
55,-9.199408,120,-23.918335,prod1
56,-8.3998785,120,-22.22311,prod1
57,-9.232989,120,-15.072601,prod1
58,-9.603108,120,-15.796604,prod1
59,-8.685039,120,-23.360445,prod1
60,-8.712934,120,-21.042957,prod1
61,-8.956892,174,-9.0101795,prod1
62,-8.308267,120,-23.682913,prod1
63,-8.197981,120,-25.994331,prod1
64,-8.884264,120,-21.925034,prod1
65,-8.940341,174,-9.055547,prod1
66,-9.357442,120,-25.279655,prod1
67,-9.678252,120,-25.684786,prod1
68,-9.269605,120,-20.946115,prod1
69,-9.607214,174,-11.056257,prod1
70,-9.7233715,120,-23.708296,prod1
71,-8.843903,174,-9.6295185,prod1
72,-8.910364,120,-23.629894,prod1
73,-8.604344,120,-26.32707,prod1
74,-9.535245,120,-22.923912,prod1
75,-9.224386,174,-9.431473,prod1
76,-9.075964,174,-9.625738,prod1
77,-8.974942,120,-26.699099,prod1
78,-9.116216,120,-25.600357,prod1
79,-8.542822,67,9.727182,prod1
80,-9.07795,120,-26.919134,prod1
81,-9.1097,67,10.720843,prod1
82,-9.780481,67,5.7186837,prod1
83,-9.355601,67,10.288053,prod1
84,-10.48167,67,7.519257,prod1
85,-10.060148,67,8.26602,prod1
86,-9.551007,174,-9.88559,prod1
87,-9.504095,174,-10.666168,prod1
88,-9.074211,67,8.378536,prod1
89,-8.793846,67,6.8368216,prod1
90,-8.668094,174,-10.103778,prod1
91,-8.345475,67,8.72241,prod1
