Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
0,-7.7007093,191.0,-20.409658,prod1,-12.71,11.98,3.53,-1.02,0.46,-2.27,0.58,-0.07,-0.07,1.17,1.24,-0.26,0.01,1.9,-0.49,0.02,1.3,-1.02,-0.73,-0.02,0.67,-0.08,-0.16,0.06,-0.22,-0.49,0.09,-0.12,0.0,-0.51,-0.53,-0.34,-0.16,0.78,0.1,-0.23,-0.04,-0.16,-0.05,-0.09,0.03,-0.08,-0.04,-0.18,0.01,0.07
1,none,none,none,,none,11.85,3.94,-0.75,0.21,-2.34,0.59,-0.1,-0.17,0.9,1.2,0.49,-0.63,1.44,-0.1,0.05,1.04,-0.54,-0.47,-0.41,1.19,-0.37,-0.41,-0.06,0.11,-0.33,0.19,-0.04,0.58,-0.29,0.26,-0.25,0.44,0.19,0.04,-0.16,0.1,-0.33,-0.15,-0.03,-0.19,0.1,0.12,-0.13,0.07,0.16
2,-7.614193,191.0,-24.693886,prod1,-17.08,12.14,3.86,-0.79,0.31,-2.09,1.14,0.44,-0.17,1.42,1.06,1.11,0.07,0.55,0.24,-0.54,0.7,-0.28,-0.4,-0.14,-0.25,0.09,-0.72,-0.63,0.15,-0.06,-0.05,0.16,0.08,-0.67,-0.0,-0.22,-0.2,0.11,-0.4,-0.54,0.12,-0.01,-0.27,0.21,0.07,-0.07,-0.02,-0.03,0.08,0.09
3,-8.614146,191.0,-21.199694,prod1,-12.59,11.52,3.69,-0.88,0.18,-2.17,1.09,1.01,-0.63,0.4,0.26,0.78,-0.09,0.47,0.7,0.02,-0.16,-1.41,0.08,0.34,0.25,-0.05,0.52,-0.76,0.12,-0.42,0.13,0.01,0.01,-0.08,0.1,0.3,0.63,0.34,-0.0,-0.28,-0.19,-0.15,0.11,0.04,-0.11,-0.18,-0.09,0.17,-0.07,0.04
4,-8.543472,7.0,-20.842062,prod1,-12.3,10.85,3.52,-0.79,0.13,-2.19,1.45,1.18,-0.81,0.48,0.61,0.97,0.41,-0.24,1.27,0.04,-0.53,-0.79,-0.24,0.12,0.59,0.72,-0.65,-0.37,-0.15,-0.23,-0.02,0.18,-0.02,-0.29,-0.42,0.23,0.4,0.36,-0.18,-0.2,-0.06,-0.38,-0.27,0.03,-0.29,-0.26,-0.21,0.01,0.06,0.05
5,-8.488665,7.0,-16.938011,prod1,-8.45,10.84,3.88,-0.86,-0.31,-2.07,1.3,0.92,-0.04,0.97,1.39,0.7,0.57,0.54,-0.2,0.39,-0.02,-0.34,0.08,0.42,-0.27,-0.21,-0.18,-0.1,-0.01,-0.38,-0.09,0.06,-0.36,0.07,-0.01,0.1,-0.03,0.28,-0.25,-0.33,0.3,0.2,-0.03,0.14,-0.03,-0.13,-0.04,0.17,0.15,-0.06
6,-8.039381,7.0,-16.103565,prod1,-8.06,10.75,3.89,-0.74,-0.0,-2.03,1.15,1.05,-0.5,1.38,1.8,0.8,0.56,0.59,0.1,0.39,-0.26,-0.61,-0.4,0.59,-0.37,0.57,-0.08,-0.32,-0.26,0.12,0.3,-0.17,-0.08,0.01,-0.57,0.11,0.34,0.08,-0.01,-0.42,0.08,-0.25,-0.26,0.06,-0.08,0.02,-0.13,-0.01,-0.07,0.06
7,-7.923458,7.0,-15.02146,prod1,-7.1,12.09,4.09,-0.9,0.25,-2.2,1.48,0.69,-0.17,0.5,1.28,0.51,0.52,0.78,0.74,0.24,-0.0,-0.9,0.13,0.24,-0.29,-0.19,0.19,-0.05,0.13,-0.49,0.39,-0.23,0.07,-0.33,-0.21,-0.11,0.14,0.32,-0.3,-0.26,-0.01,-0.25,0.02,0.23,0.24,-0.11,-0.08,0.17,0.05,0.2
8,-8.282353,7.0,-14.420991,prod1,-6.14,11.29,3.9,-0.92,0.03,-2.19,1.1,1.29,-0.22,0.18,2.12,0.57,0.57,1.9,0.66,-0.55,-0.45,-0.07,0.19,-0.06,0.49,-0.19,0.11,-0.08,-0.23,-0.2,0.22,-0.18,-0.1,-0.31,0.42,0.44,0.38,-0.03,0.19,0.07,-0.34,0.25,-0.08,-0.01,0.45,0.06,-0.13,0.02,0.02,0.07
9,-8.313722,7.0,-15.998807,prod1,-7.69,12.33,3.77,-0.94,0.42,-2.36,1.12,1.02,-0.54,0.69,0.93,-0.23,0.34,0.71,0.35,-0.41,-0.66,-0.32,0.13,0.11,0.48,-0.14,0.03,0.17,0.04,-0.5,0.74,0.07,0.61,-0.63,0.09,0.05,0.29,0.35,-0.08,-0.01,-0.12,-0.27,0.47,-0.08,-0.31,0.11,0.36,-0.03,-0.06,0.07
