Frame,Z_coord_n1,na_res,Z_coord_na,prod
0,-7.7007093,191,-20.409658,prod1
2,-7.614193,191,-24.693886,prod1
3,-8.614146,191,-21.199694,prod1
4,-8.543472,7,-20.842062,prod1
5,-8.488665,7,-16.938011,prod1
6,-8.039381,7,-16.103565,prod1
7,-7.923458,7,-15.02146,prod1
8,-8.282353,7,-14.420991,prod1
9,-8.313722,7,-15.998807,prod1
10,-8.766997,7,-18.926256,prod1
11,-8.775161,7,-14.870792,prod1
12,-7.9964075,7,-13.804728,prod1
13,-8.312177,7,-13.0587,prod1
14,-8.016435,7,-12.511447,prod1
15,-8.030713,7,-12.788585,prod1
16,-7.7194695,7,-14.12074,prod1
17,-7.844064,7,-13.544929,prod1
18,-7.470823,7,-14.318965,prod1
19,-7.3868637,7,-11.824114,prod1
20,-7.2009635,7,-12.182282,prod1
21,-6.9072933,7,-13.6544075,prod1
22,-7.098868,7,-12.172919,prod1
23,-7.18998,7,-14.244369,prod1
24,-6.9370313,7,-15.056278,prod1
25,-7.3501544,7,-13.0283,prod1
26,-6.8079634,7,-12.935937,prod1
27,-6.831675,7,-13.053348,prod1
28,-7.0150404,7,-14.605681,prod1
29,-7.7148137,7,-14.268455,prod1
30,-7.144124,7,-13.177556,prod1
31,-7.01219,7,-16.065126,prod1
32,-6.7270756,7,-14.253098,prod1
33,-7.484815,7,-18.285452,prod1
34,-7.541667,7,-21.873156,prod1
35,-6.999692,7,-23.601625,prod1
36,-6.5917053,7,-20.18874,prod1
37,-7.1992617,7,-21.308617,prod1
38,-7.5800085,25,-22.143349,prod1
49,-7.816305,234,13.208256,prod1
52,-8.027207,63,-22.835445,prod1
54,-7.5324965,234,11.058923,prod1
55,-7.7411,234,11.707217,prod1
58,-7.8991995,234,7.2533684,prod1
59,-7.55138,234,7.466556,prod1
60,-7.3698487,234,7.193867,prod1
61,-7.010454,25,-21.007101,prod1
62,-7.048191,25,-22.589733,prod1
63,-6.8436966,63,-23.485777,prod1
64,-6.579182,63,-22.31489,prod1
73,-8.2064,25,-22.431654,prod1
75,-8.828116,25,-22.72998,prod1
77,-8.334208,25,-22.43936,prod1
78,-8.723927,25,-20.849209,prod1
79,-8.527204,25,-18.160074,prod1
80,-8.891586,25,-15.863331,prod1
81,-8.155464,25,-15.947787,prod1
82,-8.879597,25,-18.898834,prod1
83,-8.812648,25,-20.77118,prod1
84,-8.784008,25,-25.739708,prod1
91,-8.652199,157,-22.471418,prod1
92,-8.401872,157,-15.753819,prod1
93,-8.147636,157,-12.271025,prod1
94,-8.143872,157,-15.605122,prod1
95,-7.8694563,157,-18.71431,prod1
96,-7.931775,157,-16.874758,prod1
97,-8.10738,157,-16.719885,prod1
98,-8.041974,157,-19.42098,prod1
99,-7.0014625,157,-14.010966,prod1
100,-8.001014,157,-12.973269,prod1
101,-8.339144,157,-14.679668,prod1
102,-8.670185,157,-20.684235,prod1
103,-8.4878435,157,-23.288465,prod1
104,-7.0561795,157,-19.169868,prod1
105,-7.2514424,157,-19.597403,prod1
106,-7.3919754,157,-18.337955,prod1
107,-7.8989463,157,-18.029366,prod1
108,-7.528755,157,-16.92081,prod1
109,-7.4575806,157,-17.33187,prod1
110,-7.435725,157,-15.509193,prod1
111,-7.0013494,157,-15.292988,prod1
112,-7.191122,157,-18.513315,prod1
113,-6.9677906,157,-14.917181,prod1
114,-7.116966,157,-18.619196,prod1
115,-6.52785,157,-18.602474,prod1
116,-6.2009654,157,-18.369373,prod1
120,-6.266148,157,-16.917204,prod1
121,-6.3460155,157,-16.556717,prod1
122,-6.4353213,157,-13.864033,prod1
123,-6.840372,157,-15.27766,prod1
124,-6.7205105,157,-13.182721,prod1
125,-6.292739,157,-10.966112,prod1
126,-6.7254076,157,-14.412972,prod1
127,-6.193593,157,-12.788132,prod1
128,-5.6398892,157,-12.660944,prod1
129,-6.4272575,157,-12.222277,prod1
130,-5.591495,157,-11.478382,prod1
131,-6.5003486,157,-13.022516,prod1
132,-6.1092463,154,-20.338068,prod1
133,-6.9947963,154,-17.970903,prod1
134,-6.170836,154,-19.48351,prod1
135,-6.463472,154,-17.995115,prod1
136,-6.2122474,154,-19.43737,prod1
137,-6.246762,157,-12.135749,prod1
138,-5.5024343,157,-11.321111,prod1
139,-4.7195964,157,-10.117236,prod1
140,-4.5621514,157,-12.407196,prod1
141,-5.3834167,157,-11.402043,prod1
142,-6.362642,157,-12.340941,prod1
143,-5.7061734,157,-12.297235,prod1
144,-5.5277877,157,-7.95951,prod1
145,-5.064534,157,-6.529971,prod1
146,-5.033851,157,-6.9935718,prod1
147,-5.1862803,157,-6.669419,prod1
148,-5.241505,157,-6.211011,prod1
149,-5.020978,157,-5.695884,prod1
150,-5.9977713,157,-6.475643,prod1
151,-5.741508,157,-6.1441607,prod1
152,-5.824841,33,-25.527208,prod1
153,-6.297871,33,-18.745707,prod1
154,-6.513617,33,-16.000696,prod1
155,-6.608817,33,-16.897827,prod1
156,-6.9818993,33,-16.181488,prod1
157,-6.4513016,33,-20.701933,prod1
158,-6.410273,33,-18.1407,prod1
159,-6.189197,33,-18.571644,prod1
160,-5.978395,157,-6.3917894,prod1
161,-6.359544,33,-18.46144,prod1
162,-5.8708687,33,-17.061451,prod1
163,-6.4044247,33,-18.839672,prod1
164,-6.3992414,33,-20.584154,prod1
165,-6.714699,33,-23.971216,prod1
