Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
0,-4.8108287,126.0,-19.305683,prod1,-14.49,4.39,4.49,1.17,-0.57,0.67,0.87,-1.33,-0.13,0.04,0.05,-0.2,0.49,0.82,0.69,-0.43,0.23,-0.27,-0.88,0.02,-0.02,-0.73,0.05,-0.31,0.43,-0.59,0.16,-0.5,0.02,-0.23,-0.61,0.19,0.21,-0.39,-0.21,0.14,-0.16,-0.35,0.5,-0.0,0.25,0.17,0.05,0.11,-0.05,0.04
1,-4.0554204,126.0,-20.669222,prod1,-16.61,3.44,4.56,1.24,-0.85,-0.44,1.27,-1.36,-0.37,-0.15,0.01,1.23,0.47,0.53,-0.49,-0.4,-0.12,0.32,-1.01,-0.46,0.06,-0.55,0.65,0.37,0.22,-0.26,0.24,0.43,-0.01,-0.13,-0.45,-0.17,0.21,0.08,-0.07,0.02,-0.25,-0.28,0.43,-0.01,0.11,-0.09,0.13,-0.16,0.01,-0.05
2,none,none,none,,none,3.85,4.96,1.29,-0.7,-0.19,1.13,-1.71,-0.17,0.44,-0.79,0.06,1.12,0.22,-0.23,-0.0,-0.49,0.42,-0.74,-0.12,-0.09,-0.05,0.55,0.58,0.18,-0.71,0.05,0.06,0.2,-0.05,-0.34,-0.36,-0.15,0.01,0.16,-0.37,0.08,-0.01,0.37,-0.02,0.01,-0.02,0.09,-0.19,-0.06,-0.04
3,none,none,none,,none,4.06,5.07,1.26,-1.01,-0.62,1.04,-1.96,-0.22,-0.11,-0.64,0.13,0.92,0.6,-0.09,-0.23,-0.05,0.35,-0.61,-0.09,-0.36,-0.02,-0.17,0.44,-0.01,0.13,0.22,-0.42,0.36,-0.42,-0.02,-0.08,-0.09,-0.12,0.04,0.24,-0.1,-0.27,0.39,-0.04,0.3,0.16,-0.03,-0.2,-0.27,-0.12
4,-4.4822736,126.0,-23.167488,prod1,-18.69,3.7,4.77,1.19,-0.77,-0.29,1.12,-2.04,-0.4,0.11,0.07,0.75,-0.2,0.16,-0.05,0.33,0.23,0.33,-0.19,0.01,0.09,-0.02,-0.07,0.25,0.01,-0.19,-0.09,0.31,-0.36,-0.34,0.09,0.15,0.24,-0.0,0.25,-0.17,0.06,-0.17,0.19,-0.18,-0.11,0.09,-0.04,-0.09,0.08,-0.07
5,none,none,none,,none,4.17,6.08,1.42,-0.15,-0.83,0.65,-0.98,-0.08,-0.17,0.04,1.1,-0.6,0.62,-0.35,-0.0,-0.65,0.14,-0.57,0.34,0.87,0.37,0.39,0.57,0.76,-0.42,0.34,1.0,0.38,-0.23,-0.04,0.48,-0.36,0.37,-0.09,-0.14,-0.05,-0.07,0.25,-0.18,0.02,0.06,-0.1,-0.03,0.13,-0.03
6,none,none,none,,none,4.59,6.49,1.34,-0.66,-0.52,0.65,-1.19,0.98,0.97,-0.29,0.38,-0.22,0.51,0.22,0.17,-0.12,-0.28,0.09,0.93,0.06,0.1,0.48,0.08,0.56,-0.91,0.66,-0.43,-0.24,-0.15,0.23,0.13,0.71,-0.11,0.26,0.03,-0.1,-0.49,0.05,0.0,-0.08,0.15,-0.2,-0.06,-0.14,-0.06
7,none,none,none,,none,4.83,6.84,1.28,-0.77,-0.62,0.41,-1.05,0.59,0.53,-0.6,-0.03,-0.29,0.43,0.58,0.54,0.16,-0.16,-0.12,0.69,0.02,0.3,1.32,0.05,0.14,-0.54,0.96,-0.71,-0.1,-0.29,-0.14,-0.25,-0.25,-0.18,0.48,0.15,0.42,0.22,0.3,-0.01,0.26,0.06,-0.11,-0.04,-0.08,0.02
8,none,none,none,,none,3.55,6.57,1.34,-0.02,-0.73,1.22,-0.89,-0.11,-0.28,-0.24,0.75,-0.32,0.53,-1.15,-0.16,0.23,0.61,-0.04,0.38,0.59,0.14,0.23,0.51,0.66,-0.48,0.02,-0.06,-0.23,-0.19,0.09,-0.23,0.18,-0.24,0.5,0.04,0.03,-0.15,0.04,-0.24,-0.33,-0.07,0.41,-0.18,-0.15,-0.06
9,none,none,none,,none,3.82,5.94,1.3,-0.13,-0.8,1.66,-0.27,-0.41,0.6,-0.46,1.36,-0.63,-0.6,-0.17,-0.68,0.35,0.35,-0.26,0.1,0.72,0.31,0.07,0.33,0.15,0.27,0.47,-0.14,-0.07,-0.61,-0.17,0.4,-0.3,0.04,0.13,0.31,-0.22,-0.13,0.33,-0.22,0.03,-0.05,0.15,-0.12,-0.01,0.06
