Frame,Z_coord_n1,na_res,Z_coord_na,prod
0,-4.8108287,126,-19.305683,prod1
1,-4.0554204,126,-20.669222,prod1
4,-4.4822736,126,-23.167488,prod1
10,-4.2722244,126,-22.3788,prod1
37,-4.697121,14,-23.166187,prod1
38,-4.459364,14,-20.536396,prod1
47,-4.1567016,14,-22.971478,prod1
48,-4.2940555,220,-20.66994,prod1
49,-3.4196906,220,-19.765364,prod1
51,-4.383558,220,-19.2828,prod1
53,-4.915945,220,-18.776546,prod1
54,-4.572108,220,-19.89174,prod1
58,-4.410017,220,-20.703604,prod1
59,-4.3340397,220,-18.631561,prod1
60,-4.1069016,220,-20.799126,prod1
70,-4.9714055,178,-21.479475,prod1
71,-4.4603815,178,-21.377188,prod1
94,-3.8212898,178,-18.206184,prod1
95,-4.2630687,178,-21.689528,prod1
99,-3.8784716,178,-18.027878,prod1
104,-3.88322,223,-20.638018,prod1
105,-3.8603666,223,-21.68129,prod1
107,-3.7922528,223,-21.312445,prod1
109,-3.578903,223,-18.787838,prod1
110,-4.1020017,223,-20.634504,prod1
117,-2.811433,223,-21.507265,prod1
124,-3.3568616,223,-20.206432,prod1
126,-4.573657,223,-21.433851,prod1
128,-4.65932,223,-20.221766,prod1
140,-3.2291946,223,-19.398218,prod1
141,-2.609968,130,-20.072374,prod1
142,-2.9006813,130,-19.353693,prod1
145,-3.016823,130,-17.371693,prod1
164,-2.9506114,7,-16.702408,prod1
166,-2.4516792,7,-20.658564,prod1
169,-2.6425068,7,-21.442755,prod1
201,-2.1581461,209,-18.957825,prod1
202,-2.0736303,209,-17.482946,prod1
203,-2.1409686,209,-19.92121,prod1
248,-2.2127464,7,-20.51689,prod1
249,-2.0860462,7,-19.423946,prod1
250,-2.33504,7,-15.537767,prod1
251,-2.4771223,7,-15.423029,prod1
252,-2.8051362,7,-15.1251335,prod1
253,-2.5332975,7,-15.616631,prod1
254,-2.9057071,7,-15.934337,prod1
255,-2.9337287,7,-20.079626,prod1
333,-1.8076378,235,-18.1205,prod1
334,-1.873674,138,-19.696865,prod1
337,-0.38755465,138,-18.866673,prod1
338,0.008357382,138,-18.524498,prod1
339,-0.013760527,138,-19.10707,prod1
344,0.053740405,138,-14.440034,prod1
345,-0.72800034,138,-15.033786,prod1
346,-0.74932903,138,-17.000868,prod1
347,-0.8661854,138,-16.520512,prod1
349,-0.16598134,138,-16.019936,prod1
350,-0.5625489,130,-17.40609,prod1
353,0.06343403,138,-14.158042,prod1
354,0.43373823,250,-18.680344,prod1
356,0.39774022,130,-13.702059,prod1
357,0.36244994,130,-15.176548,prod1
358,0.25392592,130,-14.812491,prod1
359,0.115495786,130,-17.569468,prod1
360,1.0887625,250,-14.340359,prod1
366,0.27979374,138,-17.714754,prod1
367,0.39571324,138,-13.660741,prod1
368,-0.7363136,138,-16.45612,prod1
369,-0.13202779,138,-13.571293,prod1
