Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
0,-6.7307262,209.0,-22.20571,prod1,-15.47,4.16,6.2,1.03,-0.77,-0.03,1.42,-1.66,-0.41,-1.2,-0.28,0.34,-0.23,0.18,-0.73,0.57,-0.35,0.8,-0.1,0.42,0.2,-0.02,-0.08,0.2,0.1,0.12,0.3,-0.1,-0.15,-0.4,0.07,-0.42,0.18,0.16,-0.19,-0.02,0.0,0.06,-0.27,-0.03,0.03,-0.22,-0.0,-0.1,-0.05,-0.06
1,none,none,none,,none,3.59,6.41,1.01,-0.8,-0.01,1.13,-1.41,-0.62,-0.94,-0.37,0.46,0.09,0.4,-0.7,0.67,-0.24,0.66,-0.1,0.4,0.1,-0.42,0.94,1.1,0.26,-0.33,0.1,-0.55,0.16,-0.12,-0.02,-0.33,0.59,-0.34,-0.16,0.13,-0.02,-0.01,-0.1,0.28,-0.32,0.07,-0.04,-0.03,-0.09,0.01
2,none,none,none,,none,4.33,5.93,1.04,-0.7,-0.07,1.38,-0.69,-0.3,-0.44,-0.03,0.89,0.13,0.66,-0.13,0.52,0.02,0.5,-0.42,0.25,-0.17,-0.67,0.22,0.25,0.4,0.17,0.26,-0.66,0.3,0.01,-0.08,-0.04,0.06,-0.3,-0.12,0.26,0.14,-0.17,-0.26,0.2,-0.14,-0.02,0.02,-0.28,0.06,0.02
3,none,none,none,,none,3.69,7.28,1.28,-0.74,-0.02,1.11,-0.8,-0.14,-0.56,-1.19,0.52,0.43,0.67,-0.63,0.37,-0.59,0.19,0.09,0.17,-0.4,-0.38,0.65,1.08,0.51,0.06,0.65,-0.76,0.4,-0.51,0.1,-0.79,0.25,0.14,0.45,-0.1,0.22,-0.07,-0.13,0.02,-0.03,0.06,0.07,0.26,-0.02,0.12
4,none,none,none,,none,3.69,6.78,1.33,-0.75,-0.39,1.23,-1.24,0.2,-0.49,-0.5,0.12,0.92,0.42,-0.64,0.07,-0.05,0.31,0.12,0.71,-0.11,-0.54,0.44,0.03,0.05,0.02,0.03,-0.56,0.05,-0.41,-0.11,-0.15,0.5,-0.24,0.22,0.48,0.44,-0.11,-0.02,0.09,0.51,-0.0,0.03,-0.07,-0.05,0.21
5,none,none,none,,none,3.77,7.49,1.21,-0.63,-0.01,0.99,-0.57,0.13,-1.12,-0.2,0.44,0.14,0.16,-0.73,-0.43,-0.81,0.86,-0.44,0.84,0.65,-0.63,0.08,-0.03,0.29,0.03,-0.12,-1.11,-0.64,-0.44,-0.43,-0.61,0.13,-0.1,0.15,0.35,0.27,-0.15,-0.07,0.01,0.36,0.1,-0.09,-0.27,-0.01,0.11
6,none,none,none,,none,4.39,7.21,1.26,-0.68,-0.46,0.63,-1.02,0.7,-0.59,-0.22,0.07,-0.01,0.37,0.1,0.76,0.47,0.77,-0.07,0.45,-0.22,0.04,0.18,0.16,0.36,-0.52,-0.56,-0.82,0.17,-0.32,0.27,-0.66,0.21,-0.25,0.08,0.35,0.1,-0.27,-0.06,0.17,0.17,-0.34,-0.14,-0.3,-0.06,-0.11
7,none,none,none,,none,4.59,7.19,1.27,-0.56,-0.39,0.94,-1.25,0.83,-0.02,-0.04,0.35,0.33,0.98,0.31,0.31,0.41,0.61,0.2,0.87,0.12,0.06,0.32,-0.09,-0.43,-0.05,0.12,-0.53,-0.09,-0.15,0.09,-0.54,0.08,-0.32,0.37,-0.04,0.25,-0.12,-0.24,0.14,0.4,-0.23,-0.05,-0.3,0.03,-0.07
8,none,none,none,,none,4.36,7.85,1.39,-0.67,-0.37,0.65,-0.52,0.49,0.3,-0.94,0.3,-0.38,0.22,0.0,0.71,-0.05,0.19,-0.17,0.77,-0.21,-0.19,0.67,0.42,0.71,-0.23,-0.06,-0.35,0.32,-0.2,-0.05,-0.69,-0.12,-0.24,0.02,0.36,0.46,-0.39,0.06,0.28,0.44,-0.27,-0.23,-0.17,-0.09,0.1
9,none,none,none,,none,4.38,6.76,1.23,-1.09,0.09,1.32,0.01,0.68,-0.17,-1.15,-0.43,0.95,-0.02,-0.1,-0.17,0.53,0.35,-0.4,0.69,-0.3,-0.45,0.07,-0.04,0.61,-0.6,0.12,-0.57,-0.28,0.02,-0.03,-0.92,0.18,-0.07,0.4,-0.08,0.47,-0.15,-0.17,-0.01,0.22,-0.12,-0.09,-0.16,0.14,0.1
