Frame,Z_coord_n1,na_res,Z_coord_na,prod
0,-6.7307262,209,-22.20571,prod1
16,-7.1886497,98,-21.227316,prod1
17,-6.7523203,98,-20.7696,prod1
18,-6.685822,98,-18.555677,prod1
19,-7.1926856,98,-21.148796,prod1
20,-7.166849,98,-21.627468,prod1
21,-6.3065805,98,-16.202879,prod1
23,-5.91054,98,-22.493622,prod1
24,-6.41699,98,-18.56541,prod1
25,-6.0293536,98,-18.472713,prod1
26,-5.560899,98,-20.596367,prod1
27,-6.145829,98,-19.482336,prod1
28,-5.9659405,98,-18.610294,prod1
29,-6.114371,98,-18.374403,prod1
30,-6.3508058,98,-18.804993,prod1
31,-6.3563256,98,-17.831364,prod1
35,-6.577258,98,-20.666355,prod1
36,-6.4673433,98,-25.913471,prod1
44,-6.647521,231,12.68152,prod1
45,-6.531025,231,7.000489,prod1
46,-6.1213207,231,2.384873,prod1
47,-6.6030483,231,2.0950222,prod1
48,-7.0014615,231,2.2573197,prod1
49,-6.990674,231,3.6868496,prod1
50,-6.489837,231,5.915128,prod1
51,-7.4468517,231,3.0039477,prod1
52,-6.942466,231,2.6591096,prod1
53,-6.4056892,231,2.556382,prod1
54,-6.0474825,231,2.4674048,prod1
55,-6.4388247,231,2.3961017,prod1
56,-6.358243,231,0.26916677,prod1
57,-6.0560875,231,-0.16491471,prod1
58,-6.1162753,231,0.27644604,prod1
59,-6.428494,231,-0.35089052,prod1
60,-6.917542,231,-1.0873703,prod1
61,-6.268418,231,-0.09903307,prod1
62,-6.9436965,231,-0.7928867,prod1
63,-6.43668,231,-0.8836718,prod1
64,-6.5022717,231,-0.87621915,prod1
65,-6.586562,231,-1.1617602,prod1
66,-6.604845,231,-0.8538007,prod1
67,-7.266527,209,-21.807243,prod1
68,-6.739927,209,-20.385155,prod1
69,-6.093427,209,-17.911871,prod1
70,-5.544864,209,-17.099482,prod1
71,-6.029436,209,-17.724785,prod1
72,-5.4699636,209,-17.028067,prod1
73,-5.265401,209,-23.127928,prod1
74,-4.910278,231,0.7067589,prod1
75,-5.376365,231,0.42788333,prod1
76,-4.497988,231,1.2360117,prod1
77,-5.097477,231,0.88805664,prod1
78,-5.20325,231,0.95989174,prod1
79,-5.245897,231,0.45499152,prod1
80,-5.5636263,231,0.6408102,prod1
81,-5.0289416,231,-1.894099,prod1
82,-5.167478,231,-2.0764802,prod1
83,-5.4722495,231,-2.7499027,prod1
84,-5.49628,231,-2.1689777,prod1
85,-5.965791,231,-3.1316504,prod1
