Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
0,-4.550399,174.0,-13.6570015,prod1,-9.11,3.83,6.02,1.22,-0.95,-0.12,0.57,-0.08,0.7,-1.01,-0.27,0.45,1.58,0.77,-0.37,0.39,-0.28,0.45,-1.61,0.29,-0.45,0.44,-0.12,0.63,-0.23,-0.48,0.07,-0.36,-0.13,-0.12,-0.16,-0.01,0.04,-0.12,0.26,0.21,0.16,-0.28,-0.11,0.08,0.49,-0.35,0.01,-0.24,0.03,-0.17
1,-4.4347334,174.0,-14.252594,prod1,-9.82,3.48,4.69,1.13,-1.05,-0.1,1.19,-0.06,0.54,-1.46,0.28,0.36,0.57,0.66,-0.55,-0.29,-0.48,0.52,-0.81,-0.45,-0.5,0.05,0.12,0.51,-0.1,-0.59,-0.63,0.27,-0.67,-0.19,-0.03,-0.0,-0.15,-0.06,0.06,0.55,-0.04,-0.23,-0.0,-0.03,-0.02,-0.37,0.3,-0.4,-0.06,-0.18
2,-3.919652,174.0,-13.766842,prod1,-9.85,3.4,6.12,1.47,-0.77,-0.04,0.35,0.69,0.89,-1.61,-0.84,0.19,-0.34,1.0,-0.2,-0.33,-0.33,-0.01,0.11,-0.01,-0.53,-0.06,-0.29,0.24,-0.51,-0.34,-0.04,0.61,-0.24,0.2,0.06,0.1,0.05,0.45,0.21,-0.05,-0.04,-0.08,0.25,0.04,-0.11,-0.21,0.17,-0.15,-0.12,-0.05
3,-3.7408564,174.0,-14.791303,prod1,-11.05,3.78,5.56,1.39,-1.12,0.02,0.93,0.1,0.68,-1.14,-0.45,0.13,0.81,1.22,-0.16,-1.25,-0.19,-0.32,-0.45,0.22,0.08,0.0,-0.26,0.56,-0.17,-0.28,-0.67,0.15,-0.67,-0.3,-0.22,0.01,-0.26,0.26,-0.14,0.03,-0.09,-0.45,0.09,0.27,-0.05,-0.22,0.34,0.0,-0.3,0.08
4,-4.418163,174.0,-14.519357,prod1,-10.1,3.6,4.16,1.29,-0.99,-0.03,0.75,0.45,0.2,-1.46,-0.06,0.36,0.29,-0.07,-0.1,-1.06,-0.01,-0.23,-0.11,-1.75,-0.04,0.55,0.02,0.74,-0.1,0.31,0.35,0.56,-0.72,0.0,0.12,0.17,0.25,0.17,0.29,-0.32,-0.26,-0.1,0.32,-0.09,-0.25,-0.19,0.13,-0.18,0.0,0.01
5,-4.458213,174.0,-13.2646675,prod1,-8.81,4.54,7.05,1.34,-0.68,0.15,0.67,-0.1,0.76,-1.29,-0.67,0.88,-0.11,1.08,-0.07,-0.88,-0.22,0.05,0.08,0.28,-0.09,0.69,-0.34,0.49,-0.13,0.08,0.16,0.28,0.0,-0.16,0.48,-0.47,0.09,0.05,-0.13,-0.37,-0.17,-0.04,0.01,-0.02,-0.08,0.08,-0.12,-0.16,0.03,0.06
6,-4.168388,174.0,-13.059748,prod1,-8.89,4.17,6.48,1.47,-0.71,-0.08,0.26,0.01,0.76,-1.77,-0.85,0.99,-0.54,1.26,-0.81,-0.58,-0.23,-0.41,0.82,-0.86,-0.42,-0.15,0.25,0.19,-0.16,0.05,-0.12,-0.05,0.6,-0.21,0.29,-0.14,0.01,0.47,0.25,0.08,0.31,-0.13,-0.42,-0.16,-0.12,0.02,-0.02,0.08,0.08,0.14
7,-4.158833,174.0,-9.603191,prod1,-5.44,5.19,6.47,1.42,-0.52,-0.74,-0.08,-0.03,0.65,-0.93,-0.66,0.59,0.75,0.91,-0.45,-1.14,-0.28,-0.81,0.53,-0.63,-0.47,0.1,-0.19,-0.52,-0.26,0.32,0.76,-0.46,0.1,0.01,0.4,-0.37,0.37,0.21,0.31,-0.16,0.22,-0.02,0.5,0.14,0.19,-0.12,-0.24,-0.02,-0.23,0.09
8,-4.056501,174.0,-9.644699,prod1,-5.59,3.74,5.94,1.4,0.18,-0.73,0.26,0.1,0.33,-2.05,-0.38,0.29,0.98,0.16,-1.22,-1.22,-0.49,-0.97,0.66,-0.85,-0.35,-0.29,0.12,-0.03,-0.01,0.02,0.27,0.11,-0.04,0.61,0.28,-0.4,0.37,0.17,0.24,-0.43,-0.25,0.29,-0.22,-0.14,-0.15,-0.14,-0.3,-0.13,0.08,-0.03
9,-3.6050198,174.0,-9.091157,prod1,-5.49,3.88,7.14,1.56,0.02,-0.48,-0.1,0.35,0.67,-2.04,-0.58,0.27,-0.19,1.18,-0.59,0.05,-0.5,-0.6,1.16,-0.44,-0.28,-0.4,-0.04,0.12,0.25,0.4,0.44,0.18,0.23,0.72,0.18,-0.29,0.31,0.25,0.5,-0.19,0.3,-0.33,-0.26,0.03,-0.02,-0.17,0.17,-0.02,0.06,0.11
