Frame,Z_coord_n1,na_res,Z_coord_na,prod
0,-4.550399,174,-13.6570015,prod1
1,-4.4347334,174,-14.252594,prod1
2,-3.919652,174,-13.766842,prod1
3,-3.7408564,174,-14.791303,prod1
4,-4.418163,174,-14.519357,prod1
5,-4.458213,174,-13.2646675,prod1
6,-4.168388,174,-13.059748,prod1
7,-4.158833,174,-9.603191,prod1
8,-4.056501,174,-9.644699,prod1
9,-3.6050198,174,-9.091157,prod1
10,-3.377906,174,-9.063138,prod1
11,-3.695689,174,-9.543997,prod1
12,-4.1203556,174,-9.553496,prod1
13,-3.6927717,174,-9.502933,prod1
14,-3.9079015,71,-19.396791,prod1
15,-4.65028,174,-10.389028,prod1
16,-4.081761,71,-22.465584,prod1
17,-3.3510983,174,-9.069399,prod1
18,-3.9522939,174,-9.662458,prod1
19,-3.8859527,174,-9.363639,prod1
20,-4.5910625,174,-11.422674,prod1
21,-3.7523718,174,-12.702758,prod1
22,-3.431696,174,-12.803373,prod1
23,-4.1443186,174,-10.6070385,prod1
24,-4.1174264,174,-14.124606,prod1
25,-3.5909202,174,-18.108665,prod1
26,-3.6141927,174,-13.723807,prod1
27,-3.753147,174,-13.738375,prod1
28,-3.12365,174,-13.693558,prod1
29,-3.6099508,174,-15.990081,prod1
30,-4.27775,174,-18.678001,prod1
31,-4.461268,174,-13.179465,prod1
32,-5.0202537,174,-14.008161,prod1
33,-4.617472,174,-14.092416,prod1
34,-4.6166296,174,-18.791775,prod1
35,-4.457892,174,-22.379213,prod1
36,-4.5791273,174,-23.169338,prod1
37,-5.033694,174,-21.369596,prod1
38,-5.393146,174,-22.358187,prod1
39,-4.9160695,174,-15.85061,prod1
40,-5.1397667,174,-14.650875,prod1
41,-4.700301,174,-14.971268,prod1
42,-5.4946823,174,-15.237132,prod1
43,-5.0009146,174,-11.850038,prod1
44,-5.1373396,174,-12.228881,prod1
45,-4.5103483,174,-11.744832,prod1
46,-4.79423,174,-10.186684,prod1
47,-4.3377523,174,-10.298601,prod1
48,-4.584277,174,-10.37972,prod1
49,-4.596384,86,-20.421917,prod1
50,-4.1874347,86,-22.689354,prod1
51,-4.7098923,174,-10.340105,prod1
52,-4.0610666,174,-9.514901,prod1
53,-3.9868855,174,-9.497351,prod1
54,-4.0910296,174,-10.3391905,prod1
55,-3.9182594,174,-9.726405,prod1
56,-2.9534636,174,-8.853317,prod1
57,-3.4183939,174,-9.031449,prod1
58,-3.4750528,174,-9.213907,prod1
59,-3.6056378,174,-8.848807,prod1
60,-3.0425797,174,-8.791244,prod1
61,-3.7741845,174,-9.379404,prod1
62,-3.5877507,174,-9.171692,prod1
63,-3.4740925,174,-8.586087,prod1
64,-3.7649012,174,-9.42178,prod1
65,-3.2342327,174,-9.149656,prod1
66,-3.0240211,174,-8.9064665,prod1
67,-2.8481476,174,-8.262756,prod1
68,-2.5824747,174,-8.345715,prod1
69,-3.337259,174,-8.723987,prod1
70,-3.1624167,174,-8.905909,prod1
71,-3.6831846,174,-9.063449,prod1
72,-3.6868396,174,-9.6843815,prod1
73,-3.5586386,174,-10.979055,prod1
74,-3.3232863,174,-11.761694,prod1
75,-3.6848588,174,-10.787575,prod1
76,-3.502102,174,-12.707279,prod1
77,-3.1300926,174,-10.9968405,prod1
78,-2.4127166,174,-8.112276,prod1
79,-2.515827,174,-8.621733,prod1
