Frame,Z_coord_n1,na_res,Z_coord_na
0,-9.96069,217,-24.907328
1,-10.324944,231,-7.091079
2,-10.238557,231,-7.1013494
3,-10.548188,115,-27.364546
4,-10.895734,115,-29.387104
5,-11.038005,115,-25.5741
6,-10.527457,115,-25.179535
7,-10.2497835,115,-21.429047
8,-10.511979,115,-23.127035
9,-10.460962,115,-22.994549
10,-9.886498,115,-27.101826
11,-10.597761,115,-26.669065
12,-9.504692,231,-6.899331
13,-10.148289,231,-6.4868846
14,-10.702245,231,-7.394139
15,-10.6538105,231,-6.780956
16,-10.7546835,231,-7.1524496
17,-10.343991,231,-7.25971
18,-10.069065,231,-6.6104937
19,-9.40024,231,-6.6006365
20,-10.230797,231,-7.279585
21,-10.271362,178,-28.68915
22,-9.840174,178,-27.485264
23,-10.235094,178,-27.72135
24,-9.938913,231,-7.055974
25,-11.09625,178,-25.815187
26,-10.807704,178,-20.455036
27,-11.263332,178,-24.696728
28,-10.54013,231,-7.5155935
29,-10.358292,231,-7.491706
30,-10.23515,231,-7.5200577
31,-10.337391,231,-7.2634068
32,-10.439067,231,-7.186017
33,-10.504629,231,-7.442239
34,-10.72955,231,-7.785492
35,-10.954434,231,-7.5903845
36,-10.651528,231,-7.581197
37,-10.137764,159,-24.43858
38,-9.612472,159,-26.07023
39,-10.31489,159,-24.803362
40,-10.534617,159,-26.7357
41,-10.552504,159,-27.53357
42,-10.928813,231,-7.511905
43,-11.146276,159,-25.704805
44,-11.1037245,159,-27.910685
45,-11.303782,159,-28.212278
46,-10.925581,159,-24.989677
47,-11.009168,72,-26.228918
48,-11.376206,231,-8.486853
49,-10.952525,231,-7.995086
50,-10.939668,231,-7.5986047
51,-11.027674,231,-7.746421
52,-10.665229,231,-7.3287253
53,-9.876885,72,-29.347855
54,-10.664262,72,-28.693264
55,-10.149973,231,-7.150969
56,-10.297809,231,-6.7390375
57,-10.517206,231,-7.2330337
58,-10.801727,231,-7.855962
59,-11.172251,231,-7.978746
60,-10.877697,231,-7.5380006
61,-10.564245,231,-7.56954
62,-10.199448,231,-7.1421776
63,-10.486723,231,-7.0388713
64,-10.905242,231,-7.9106264
65,-10.651067,231,-7.533609
66,-10.857609,231,-7.632088
67,-11.214094,231,-8.122972
68,-10.67712,231,-8.0437355
69,-10.876999,231,-7.964109
70,-10.55048,231,-7.663553
71,-10.019754,231,-6.414357
72,-10.17487,231,-7.058603
73,-9.898833,231,-6.609047
74,-9.803104,231,-6.609342
75,-10.436791,231,-7.304768
76,-11.467197,231,-7.8285847
77,-10.874325,231,-7.9228983
78,-11.1841755,231,-7.917055
79,-11.238817,231,-8.317248
80,-11.804149,231,-8.351311
81,-12.212893,231,-8.8320675
82,-11.811073,159,-30.046747
83,-11.350267,159,-26.322695
84,-11.77577,159,-23.918882
85,-11.700978,159,-24.906574
86,-12.12468,231,-9.081503
87,-12.417962,231,-9.656121
88,-12.156067,231,-8.807703
89,-11.911975,231,-8.5897455
90,-11.647656,231,-8.480493
91,-12.191674,159,-28.416288
92,-12.915156,231,-9.820868
93,-12.901344,231,-10.309125
94,-12.782167,231,-10.0644245
95,-13.27058,231,-10.089332
96,-12.749879,231,-9.754614
97,-13.098513,231,-10.117935
98,-12.793775,231,-9.763833
99,-12.56333,231,-9.842005
100,-11.824557,231,-8.742441
101,-12.455979,231,-9.269373
102,-12.44302,159,-28.279888
103,-12.285006,159,-23.834742
104,-12.08085,159,-27.3478
105,-11.790311,159,-30.166054
106,-11.489575,231,-8.437576
107,-12.14674,231,-8.824419
108,-12.375986,231,-9.1702385
109,-11.918304,231,-8.854948
110,-12.161557,231,-9.125527
111,-12.0606985,231,-9.01645
112,-12.014239,231,-9.163255
113,-13.210362,231,-10.599762
114,-12.61974,231,-9.637907
115,-12.82238,231,-10.053311
116,-12.42293,231,-9.338925
117,-12.739358,231,-10.013995
118,-12.372361,231,-9.609479
119,-11.817311,231,-9.025569
120,-12.192335,231,-9.207938
121,-12.636232,231,-9.524693
122,-12.45049,231,-9.846431
123,-13.323022,231,-10.3721895
124,-13.489803,231,-10.031071
125,-12.950798,231,-9.986055
126,-13.399424,231,-10.5720215
127,-12.690375,231,-9.588395
128,-12.199454,231,-9.196277
129,-11.864198,231,-8.605452
130,-12.338119,231,-9.152825
131,-11.618714,231,-8.461062
132,-12.491734,231,-9.462432
133,-12.34418,231,-9.325917
134,-12.924301,231,-9.871388
135,-13.015031,231,-9.805579
136,-13.041374,231,-10.042567
137,-13.054401,231,-9.947791
138,-13.032852,231,-9.842635
139,-12.749518,231,-9.749342
140,-12.24104,231,-9.413746
141,-12.278674,231,-9.057327
142,-12.610548,231,-9.066698
143,-12.369164,231,-9.345897
144,-12.371485,231,-9.433885
145,-11.952565,231,-8.922056
146,-12.024119,231,-8.919596
147,-11.947192,231,-8.967639
148,-11.979087,231,-8.996168
149,-12.2431345,231,-9.032309
150,-12.247231,231,-9.114442
151,-12.135126,231,-8.731448
152,-12.294446,231,-9.346064
153,-13.007989,231,-9.921015
154,-12.470897,231,-9.079566
155,-11.840821,231,-8.954369
156,-12.178151,231,-9.036059
157,-12.757798,231,-9.738484
158,-12.179753,231,-8.936101
159,-12.024349,231,-8.765919
160,-11.983069,231,-8.917305
161,-11.784346,231,-8.707657
162,-12.005101,231,-8.908016
163,-12.659237,231,-9.551416
164,-12.002487,231,-8.66594
165,-12.693157,231,-9.47178
166,-12.297528,187,-29.552063
167,-12.504562,231,-9.047394
168,-12.640644,231,-9.653141
169,-12.262125,231,-9.282765
170,-12.394128,231,-9.357331
171,-12.233991,183,6.7128625
172,-11.499368,231,-8.439097
173,-11.309971,231,-8.178881
174,-11.692329,231,-8.41106
175,-10.850567,195,-22.82893
176,-10.775513,183,9.925043
177,-10.744039,195,-27.247524
178,-11.581836,195,-23.505997
179,-11.153944,195,-25.534956
180,-11.602571,195,-22.444939
181,-11.300529,231,-8.433717
182,-11.993744,195,-28.054085
183,-11.627939,195,-25.668468
184,-11.7687,183,9.123888
185,-11.288497,195,-23.624275
186,-10.971626,195,-26.707548
187,-10.29608,195,-26.419624
188,-11.155299,231,-8.345584
189,-11.85035,231,-9.289061
190,-11.793123,231,-9.261535
191,-11.652836,231,-9.008902
192,-12.1540785,231,-9.470395
193,-11.665945,183,8.496681
194,-11.737023,231,-9.165888
195,-11.964815,231,-9.2942295
196,-11.347781,231,-8.565474
197,-11.785293,231,-9.139186
198,-11.551703,231,-8.773919
199,-10.877806,231,-8.293082
200,-10.75648,231,-8.026617
201,-11.201278,231,-8.57389
202,-11.122096,231,-8.34157
203,-10.829775,231,-8.107973
204,-11.005444,231,-8.149919
205,-10.633088,231,-8.186951
206,-11.013601,231,-8.311063
207,-10.450445,195,-27.06671
208,-11.175805,231,-8.418538
209,-10.764301,231,-8.119817
210,-10.508158,231,-8.024295
211,-10.599639,195,-24.156574
212,-10.288824,195,-24.504587
213,-10.675549,195,-22.54434
214,-10.326707,195,-28.259563
215,-9.526707,195,-25.988768
216,-9.567105,195,-27.497734
217,-10.234048,195,-22.676912
218,-9.368942,195,-25.475847
219,-9.591891,195,-19.341465
220,-9.48768,195,-21.64849
221,-8.939889,195,-18.844664
222,-9.028596,195,-17.926075
223,-8.898894,195,-22.315355
224,-8.490989,195,-18.537594
225,-7.975693,231,-5.4539285
226,-8.446096,231,-5.241399
227,-8.316221,231,-5.643676
228,-8.461289,231,-5.38089
229,-8.254978,41,-23.04376
230,-8.032573,41,-23.590137
231,-9.007544,231,-6.240376
232,-8.118105,231,-5.4287696
233,-8.377158,231,-5.20566
234,-8.264097,41,-25.32
235,-8.6415825,41,-22.374296
236,-8.430741,41,-25.382708
237,-8.6078205,41,-24.293201
238,-8.358811,41,-23.033768
239,-8.061003,41,-22.27738
240,-8.287483,41,-22.999916
241,-8.589351,41,-25.109142
242,-8.386709,231,-5.2455235
243,-7.677191,231,-4.9120994
244,-7.568231,41,-24.27087
245,-7.877635,231,-4.7615213
246,-7.852032,231,-4.940892
247,-7.114291,173,13.007032
248,-7.101902,231,-4.204724
249,-7.18368,231,-4.1951947
250,-7.0048327,231,-4.2257857
251,-6.750932,208,-26.30877
252,-7.012296,231,-4.0991836
253,-7.206064,231,-4.398317
254,-6.9005346,231,-3.664175
255,-7.353278,231,-4.3359866
256,-7.1475005,231,-3.6536045
257,-6.9881377,231,-3.9544926
258,-6.779134,231,-3.3920875
259,-6.5408797,231,-2.985613
260,-5.45132,231,-2.6083593
261,-5.2086196,231,-1.8623494
262,-5.3448157,231,-2.197749
263,-5.5721583,231,-2.666636
264,-6.3035145,231,-3.5460825
265,-6.3886075,231,-3.024284
266,-5.8964777,231,-3.0360663
267,-6.3916516,231,-3.2313514
268,-6.140383,231,-3.827735
